Sample.IDs,scientific_name,study_title,High.level.variety,High.level.tissue,High.level.age,High.level.stress.disease,Variety,Tissue,Age,Stress.disease,Comments,DOI,Intermediate,Intermediate_Stress_merged_control,Intermediate_Stress
HI.3671.002.Index_2.CS_150RNA_spike1,Triticum aestivum,CS_tissues,Chinese Spring,spike,reproductive,none,Chinese Spring,spike (top third),anthesis,none,top 1/3 of spike,NA,spike,NA,NA
HI.3671.002.Index_7.CS_150RNA_spike2,Triticum aestivum,CS_tissues,Chinese Spring,spike,reproductive,none,Chinese Spring,spike (middle third),anthesis,none,middle 1/3 of spike,NA,spike,NA,NA
HI.3671.002.Index_19.CS_150RNA_spike3,Triticum aestivum,CS_tissues,Chinese Spring,spike,reproductive,none,Chinese Spring,spike (bottom third),anthesis,none,bottom 1/3 of spike,NA,spike,NA,NA
N_AWW_clean,Triticum aestivum,Aneuploidy,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,fourth leaf,seven leaf stage,none,Experiment to compare homeolog gene expression in too contasting tissues of CS (roots and leaves collected from same samples-replicates),NA,leaf excl flag leaf,NA,NA
P_AWW_clean,Triticum aestivum,Aneuploidy,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,fourth leaf,seven leaf stage,none,Experiment to compare homeolog gene expression in too contasting tissues of CS (roots and leaves collected from same samples-replicates),NA,leaf excl flag leaf,NA,NA
Q_AWW_clean,Triticum aestivum,Aneuploidy,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,fourth leaf,seven leaf stage,none,Experiment to compare homeolog gene expression in too contasting tissues of CS (roots and leaves collected from same samples-replicates),NA,leaf excl flag leaf,NA,NA
NN_AWW_noribo,Triticum aestivum,Aneuploidy,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,seven leaf stage,none,Experiment to compare homeolog gene expression in too contasting tissues of CS (roots and leaves collected from same samples-replicates),NA,roots,NA,NA
PP_AWW_noribo,Triticum aestivum,Aneuploidy,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,seven leaf stage,none,Experiment to compare homeolog gene expression in too contasting tissues of CS (roots and leaves collected from same samples-replicates),NA,roots,NA,NA
QQ_AWW_noribo,Triticum aestivum,Aneuploidy,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,seven leaf stage,none,Experiment to compare homeolog gene expression in too contasting tissues of CS (roots and leaves collected from same samples-replicates),NA,roots,NA,NA
Q_BFL_noribo,Triticum aestivum,Aneuploidy,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,fourth leaf,seven leaf stage,none,Chinese Spring,NA,leaf excl flag leaf,NA,NA
DRR003151,Triticum aestivum,DRP000768,Chinese Spring,roots,vegetative,abiotic,Chinese Spring,roots,24 days,Phosphorous starvation 10 days,NA,doi: 10.1186/1471-2164-14-77,roots,NA,NA
DRR003149,Triticum aestivum,DRP000768,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,24 days,none,NA,doi: 10.1186/1471-2164-14-77,roots,NA,NA
ERR392055,Triticum aestivum,ERP004505,Chinese Spring,grain,reproductive,none,Chinese Spring,whole endosperm,10 dpa,none,NA,DOI: 10.1126/science.1250091,endosperm,NA,NA
ERR392075,Triticum aestivum,ERP004505,Chinese Spring,grain,reproductive,none,Chinese Spring,starchy endosperm,20 dpa,none,NA,DOI: 10.1126/science.1250091,endosperm,NA,NA
ERR392076,Triticum aestivum,ERP004505,Chinese Spring,grain,reproductive,none,Chinese Spring,starchy endosperm,20 dpa,none,NA,DOI: 10.1126/science.1250091,endosperm,NA,NA
ERR687864,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,starchy endosperm,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,endosperm,NA,NA
ERR687866,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,aleurone layer,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,aleurone,NA,NA
ERR687862,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,seed coat,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,seed coat,NA,NA
ERR687868,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,starchy endosperm,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,endosperm,NA,NA
ERR687865,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,seed coat,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,seed coat,NA,NA
ERR687867,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,starchy endosperm,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,endosperm,NA,NA
ERR687861,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,aleurone layer,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,aleurone,NA,NA
DRR003153,Triticum aestivum,DRP000768,Chinese Spring,roots,vegetative,abiotic,Chinese Spring,roots,24 days,Phosphorous starvation 10 days,NA,doi: 10.1186/1471-2164-14-77,roots,NA,NA
ERR687863,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,aleurone layer,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,aleurone,NA,NA
ERR687869,Triticum aestivum,ERP008767,other,grain,reproductive,none,Holdfast,seed coat,12 dpa,none,NA,doi:10.1186/s12870-015-0520-7,seed coat,NA,NA
SRR085459,Triticum aestivum,SRP004884,other,leaves/shoots,reproductive,none,Bobwhite,flag leaf,12 dpa,none,NA,doi:10.1186/1471-2164-12-492,flag leaf,NA,NA
SRR085458,Triticum aestivum,SRP004884,other,leaves/shoots,reproductive,none,Bobwhite,flag leaf,12 dpa,none,NA,doi:10.1186/1471-2164-12-492,flag leaf,NA,NA
SRR085457,Triticum aestivum,SRP004884,other,leaves/shoots,reproductive,none,Bobwhite,flag leaf,12 dpa,none,NA,doi:10.1186/1471-2164-12-492,flag leaf,NA,NA
SRR502782,Triticum aestivum,SRP013449,other,grain,reproductive,none,Banks,starchy endosperm,14 dpa,none,NA,doi: 10.1111/j.1467-7652.2012.00705.x,endosperm,NA,NA
DRR003157,Triticum aestivum,DRP000768,Chinese Spring,leaves/shoots,vegetative,abiotic,Chinese Spring,shoots,24 days,Phosphorous starvation 10 days,NA,doi: 10.1186/1471-2164-14-77,vegetative aerial tissues,Phosphorous starvation 10 d shoots,Phosphorous starvation 10 d shoots
SRR502781,Triticum aestivum,SRP013449,other,grain,reproductive,none,Banks,aleurone layer,14 dpa,none,NA,doi: 10.1111/j.1467-7652.2012.00705.x,aleurone,NA,NA
SRR502780,Triticum aestivum,SRP013449,other,grain,reproductive,none,Banks,starchy endosperm,9 dpa,none,NA,doi: 10.1111/j.1467-7652.2012.00705.x,endosperm,NA,NA
SRR502779,Triticum aestivum,SRP013449,other,grain,reproductive,none,Banks,aleurone layer,9 dpa,none,NA,doi: 10.1111/j.1467-7652.2012.00705.x,aleurone,NA,NA
SRR502778,Triticum aestivum,SRP013449,other,grain,reproductive,none,Banks,starchy endosperm,6 dpa,none,NA,doi: 10.1111/j.1467-7652.2012.00705.x,endosperm,NA,NA
SRR502777,Triticum aestivum,SRP013449,other,grain,reproductive,none,Banks,aleurone layer,6 dpa,none,NA,doi: 10.1111/j.1467-7652.2012.00705.x,aleurone,NA,NA
SRR619850,Triticum aestivum,SRP017303,other,leaves/shoots,seedling,disease,Avocet S,leaf,seedling stage,stripe rust mixture 6/14 days,NA,doi:10.1186/1471-2164-14-270,leaf excl flag leaf,NA,NA
SRR974938,Triticum aestivum,SRP022869,other,leaves/shoots,seedling,none,Sevin,second leaf,14 days,none,NA,DOI: 10.1371/journal.pone.0081606,seedling aerial tissues,NA,NA
SRR974941,Triticum aestivum,SRP022869,other,leaves/shoots,seedling,none,Sevin,second leaf,14 days,none,NA,DOI: 10.1371/journal.pone.0081606,seedling aerial tissues,NA,NA
SRR974940,Triticum aestivum,SRP022869,other,leaves/shoots,seedling,none,Sevin,second leaf,14 days,none,NA,DOI: 10.1371/journal.pone.0081606,seedling aerial tissues,NA,NA
SRR974939,Triticum aestivum,SRP022869,other,leaves/shoots,seedling,none,Sevin,second leaf,14 days,none,NA,DOI: 10.1371/journal.pone.0081606,seedling aerial tissues,NA,NA
ERR305291,Triticum aestivum,ERP003465,other,spike,reproductive,disease,CM-82036,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 50 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
ERR305281,Triticum aestivum,ERP003465,other,spike,reproductive,none,NIL2 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,mock inoculation 50 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
ERR305285,Triticum aestivum,ERP003465,other,spike,reproductive,disease,NIL3 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 30 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR947016,Triticum aestivum,SRP028357,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,fifth leaf stage,none,NA,doi:10.1186/1471-2164-15-276,roots,NA,NA
SRR946457,Triticum aestivum,SRP028357,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,fifth leaf stage,none,NA,doi:10.1186/1471-2164-15-276,roots,NA,NA
ERR305294,Triticum aestivum,ERP003465,other,spike,reproductive,none,NIL2 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,mock inoculation 30 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR947005,Triticum aestivum,SRP028357,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,shoots,fifth leaf stage,none,NA,doi:10.1186/1471-2164-15-276,vegetative aerial tissues,NA,NA
SRR946453,Triticum aestivum,SRP028357,Chinese Spring,leaves/shoots,vegetative,none,Chinese Spring,shoots,fifth leaf stage,none,NA,doi:10.1186/1471-2164-15-276,vegetative aerial tissues,NA,NA
SRR960255,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,seed coat,12 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,seed coat,NA,NA
SRR960248,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,seed coat,8 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,seed coat,NA,NA
SRR960247,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,seed coat,4 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,seed coat,NA,NA
SRR960213,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,starchy endosperm + seed coat,12 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,endosperm + seed coat,NA,NA
SRR960212,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,starchy endosperm + seed coat,8 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,endosperm + seed coat,NA,NA
SRR960183,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,starchy endosperm + seed coat,4 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,endosperm + seed coat,NA,NA
SRR960179,Triticum aestivum,SRP029372,other,grain,reproductive,none,P271,grain,4-12 dpa,none,NA,DOI: 10.1371/journal.pone.0083530,grain milk and soft dough,NA,NA
SRR1177761,Triticum aestivum,SRP038912,Chinese Spring,spike,reproductive,none,Chinese Spring NIL CSTP,stamen,anthesis,none,NA,doi:10.1186/s12864-015-1453-0,anther,NA,NA
ERR305328,Triticum aestivum,ERP003465,other,spike,reproductive,disease,NIL3 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 50 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1177760,Triticum aestivum,SRP038912,other,spike,reproductive,none,HTS-1,pistillody stamen,anthesis,none,NA,doi:10.1186/s12864-015-1453-0,anther,NA,NA
SRR1175868,Triticum aestivum,SRP038912,Chinese Spring,spike,reproductive,none,Chinese Spring NIL CSTP,pistil,anthesis,none,NA,doi:10.1186/s12864-015-1453-0,stigma & ovary,NA,NA
SRR1228265,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 72 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228264,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 72 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228263,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 72 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228262,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 48 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228261,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 48 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228260,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 48 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228259,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 24 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228258,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 24 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
ERR305322,Triticum aestivum,ERP003465,other,spike,reproductive,none,NIL2 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,mock inoculation 30 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1228257,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,Powdery mildew pathogen E09 24 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,powdery mildew,powdery mildew
SRR1228256,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,none,N9134,leaf,7 days,none,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,No stress control,mildew stripe rust 2 control
SRR1228255,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,none,N9134,leaf,7 days,none,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,No stress control,mildew stripe rust 2 control
SRR1228254,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,none,N9134,leaf,7 days,none,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,No stress control,mildew stripe rust 2 control
SRR1228253,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 72 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228252,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 72 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228251,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 72 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228250,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 48 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228249,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 48 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228248,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 48 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
ERR305331,Triticum aestivum,ERP003465,other,spike,reproductive,disease,NIL4 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 30 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1228247,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 24 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228246,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 24 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
SRR1228245,Triticum aestivum,SRP041017,other,leaves/shoots,seedling,disease,N9134,leaf,7 days,stripe rust pathogen CYR31 24 hours,NA,doi:10.1186/1471-2164-15-898,seedling aerial tissues,stripe rust 2,stripe rust 2
DRR003148,Triticum aestivum,DRP000768,Chinese Spring,roots,vegetative,none,Chinese Spring,roots,24 days,none,NA,doi: 10.1186/1471-2164-14-77,roots,NA,NA
ERR305316,Triticum aestivum,ERP003465,other,spike,reproductive,disease,NIL3 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 50 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1542417,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,6 hour of drought&heat combined stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought&heat combined stress,drought&heat combined stress
SRR1542416,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,6 hour of drought&heat combined stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought&heat combined stress,drought&heat combined stress
SRR1542415,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,1 hour of drought&heat combined stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought&heat combined stress,drought&heat combined stress
SRR1542414,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,1 hour of drought&heat combined stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought&heat combined stress,drought&heat combined stress
ERR305302,Triticum aestivum,ERP003465,other,spike,reproductive,none,NIL1 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,mock inoculation 50 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1542413,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,6 hour of heat stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,heat stress,heat stress
SRR1542412,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,6 hour of heat stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,heat stress,heat stress
SRR1542411,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,1 hour of heat stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,heat stress,heat stress
SRR1542410,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,1 hour of heat stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,heat stress,heat stress
SRR1542409,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,6 hour of drought stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought stress,drought stress
SRR1542408,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,6 hour of drought stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought stress,drought stress
SRR1542407,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,1 hour of drought stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought stress,drought stress
SRR1542406,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,abiotic,TAM107,leaf,7 days,1 hour of drought stress,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,drought stress,drought stress
SRR1542405,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,none,TAM107,leaf,7 days,none,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,No stress control,heat drought control
SRR1542404,Triticum aestivum,SRP045409,other,leaves/shoots,seedling,none,TAM107,leaf,7 days,none,NA,doi:10.1186/s12870-015-0511-8,seedling aerial tissues,No stress control,heat drought control
ERR305317,Triticum aestivum,ERP003465,other,spike,reproductive,disease,NIL1 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 30 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1958738,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1038 -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1955162,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1516 +4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1955060,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1516 +4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1955059,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1516 +4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1955045,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0362 +4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1954915,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0362 +4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958790,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0362 -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958787,Triticum aestivum,SRP056412,other,grain,reproductive,none,Westonia -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958785,Triticum aestivum,SRP056412,other,grain,reproductive,none,Westonia -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958783,Triticum aestivum,SRP056412,other,grain,reproductive,none,Westonia -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
ERR305274,Triticum aestivum,ERP003465,other,spike,reproductive,disease,NIL3 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,Fusarium graminearum inoculation 50 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1958781,Triticum aestivum,SRP056412,other,grain,reproductive,none,Chara -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958779,Triticum aestivum,SRP056412,other,grain,reproductive,none,Chara -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958777,Triticum aestivum,SRP056412,other,grain,reproductive,none,Chara -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958775,Triticum aestivum,SRP056412,other,grain,reproductive,none,Baxter -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958773,Triticum aestivum,SRP056412,other,grain,reproductive,none,Baxter -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958770,Triticum aestivum,SRP056412,other,grain,reproductive,none,Baxter -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958768,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1516 -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958766,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1516 -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958764,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1516 -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958762,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0362 -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
ERR305292,Triticum aestivum,ERP003465,other,spike,reproductive,none,NIL2 from CM-82036 BC5 in Remus,"spikelets (only using palea, lemma and rachis)",anthesis,mock inoculation 30 hours,NA,doi:10.1186/1471-2164-14-728 and doi:10.1534/g3.115.021550,spikelets,NA,NA
SRR1958749,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1275 -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958747,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1275 -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958745,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1275 -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958743,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1038 -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958740,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 1038 -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958735,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0807 -4A dormancy QTL,grain,35 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain hard dough and ripening,NA,NA
SRR1958732,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0807 -4A dormancy QTL,grain,25 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
SRR1958730,Triticum aestivum,SRP056412,other,grain,reproductive,none,NIL 0807 -4A dormancy QTL,grain,15 dpa,none,NA,doi:10.1186/s13059-015-0665-6,grain milk and soft dough,NA,NA
